DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 14:57:02,28,27,0,1020.963,79.06,13.5,75,1012.5,0,0,6.296,14.778
2025-03-04 14:57:04,42,69,0,1010.536,58.389,34.5,75,2587.5,0,0,1.536,3.826
2025-03-04 14:57:06,62,81,0,1002.704,57.368,40.5,74.988,3037,0,0,1.605,3.926
2025-03-04 14:57:08,82,105,0,1157.552,484.071,52.5,73.943,3882,0,0,0.8,142.724
2025-03-04 14:57:10,102,188,0,1240.005,732.941,94,73.771,6934.5,0,0,1.101,239.085
2025-03-04 14:57:12,123,228,0,1003.346,62.23,114,74,8436,0,0,0.965,2.461
2025-03-04 14:57:14,143,219,0,1009.689,55.364,109.5,74,8103,0,0,0.877,2.53
2025-03-04 14:57:16,164,20,0,1449.25,778.372,10,72.15,721.5,0,0,1.25,430.85
2025-03-04 14:57:18,186,80,0,1585.838,1404.792,40,73.062,2922.5,0,0,0.85,582.475
2025-03-04 14:57:20,206,185,0,1720.741,1613.927,92.5,74.643,6904.5,0,0,0.735,712.551
2025-03-04 14:57:22,225,242,0,1059.054,588.996,121,73.579,8903,0,0,0.612,54.657
2025-03-04 14:57:24,245,353,0,2186.153,2960.934,176.5,73.813,13028,0,0,0.552,1177.125
2025-03-04 14:57:26,266,411,0,1086.491,941.988,205.5,72.696,14939,0,0,0.482,81.406
2025-03-04 14:57:28,287,477,0,1384.22,2173.632,238.5,73.373,17499.5,0,0,0.501,379.09
2025-03-04 14:57:30,306,587,0,1778.31,3185.832,293.5,72.927,21404,0,0,0.632,777.93
2025-03-04 14:57:32,326,626,0,1006.307,66.786,313,73,22849,0,0,0.7,2.203
2025-03-04 14:57:34,347,520,0,999.154,65.111,260,73,18980,0,0,0.49,1.883
2025-03-04 14:57:36,368,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:57:38,388,39,0,2298.795,1768.468,19.5,73.615,1435.5,0,0,0.487,1314.718
2025-03-04 14:57:40,407,141,0,2306.262,2354.509,70.5,72.702,5125.5,0,0,0.539,1295.376
2025-03-04 14:57:42,427,202,0,1254.604,1315.209,101,73.619,7435.5,0,0,0.52,248.946
2025-03-04 14:57:44,447,300,0,2068.747,2983.213,150,73.747,11062,0,0,0.413,1064.87
2025-03-04 14:57:46,467,363,0,1184.804,1363.436,181.5,73.669,13371,0,0,0.435,177.959
2025-03-04 14:57:48,488,451,0,1619.255,2715.689,225.5,73.891,16662.5,0,0,0.375,616.031
2025-03-04 14:57:50,509,526,0,1623.424,2983.518,263,73.24,19262,0,0,0.333,623.717
2025-03-04 14:57:52,528,646,0,2151.528,4249.266,323,73.259,23662.5,0,0,0.313,1150.028
2025-03-04 14:57:54,548,703,0,1005.62,65.795,351.5,74,26011,0,0,0.292,1.121
2025-03-04 14:57:56,567,758,0,1372.792,2788.449,379,73.718,27939,0,0,0.284,368.504
2025-03-04 14:57:58,588,867,0,1698.998,3871.272,433.5,71.907,31171.5,0,0,0.278,694.934
2025-03-04 14:58:00,608,948,0,1409.269,3174.361,474,73.068,34634,0,0,0.31,403.364
2025-03-04 14:58:02,628,1021,0,1541.013,3716.233,510.5,73.977,37765.5,0,0,0.283,539.868
2025-03-04 14:58:04,648,1093,0,1450.361,3538.132,546.5,73.984,40432,0,0,0.331,446.01
