DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 14:37:11,25,21,0,1037.952,69.427,10.5,77,808.5,0,0,8.286,15.667
2025-03-04 14:37:13,42,60,0,1004.233,59.064,30,77,2310,0,0,1.067,4.117
2025-03-04 14:37:15,63,103,0,1004.262,64.012,51.5,77.049,3968,0,0,1.728,3.845
2025-03-04 14:37:17,82,139,0,1010.554,62.4,69.5,78,5421,0,0,1.18,3.022
2025-03-04 14:37:19,103,182,0,1001.209,58.328,91,78,7098,0,0,1.236,3.203
2025-03-04 14:37:21,123,223,0,1003.457,65.406,111.5,77.785,8673,0,0,1.027,2.87
2025-03-04 14:37:23,143,263,0,1002.662,66.363,131.5,75,9862.5,0,0,0.954,2.464
2025-03-04 14:37:25,164,305,0,1003.928,62.778,152.5,75,11437.5,0,0,1.125,3.036
2025-03-04 14:37:27,183,350,0,1009.509,64.596,175,75.229,13165,0,0,0.934,2.546
2025-03-04 14:37:29,203,382,0,1010.026,62.895,191,77,14707,0,0,1.06,2.764
2025-03-04 14:37:31,224,426,0,1006.829,66.168,213,77,16401,0,0,0.707,2.237
2025-03-04 14:37:33,243,467,0,1005.036,66.205,233.5,76.994,17978,0,0,0.773,2.388
2025-03-04 14:37:35,263,506,0,1005.008,67.164,253,77,19481,0,0,0.874,2.306
2025-03-04 14:37:37,284,547,0,1002.826,65.852,273.5,77,21059.5,0,0,0.803,2.466
2025-03-04 14:37:39,304,583,0,1004.465,65.937,291.5,77.256,22520,0,0,0.684,2.101
2025-03-04 14:37:41,325,628,0,1007.068,63.729,314,79,24806,0,0,0.793,2.145
2025-03-04 14:37:43,343,668,0,1008.774,62.377,334,79,26386,0,0,0.683,2.06
2025-03-04 14:37:45,363,710,0,1005.196,68.699,355,78.663,27925.5,0,0,0.473,1.823
2025-03-04 14:37:47,383,748,0,1008.17,68.581,374,77,28798,0,0,0.537,1.926
2025-03-04 14:37:49,404,792,0,997.938,64.493,396,77,30492,0,0,0.524,2.119
2025-03-04 14:37:51,424,816,0,1006.688,70.105,408,77.157,31480,0,0,0.591,2.02
2025-03-04 14:37:53,445,876,0,1005.86,68.024,438,78,34164,0,0,0.671,1.896
2025-03-04 14:37:55,465,911,0,1005.483,67.008,455.5,78,35529,0,0,0.397,1.472
2025-03-04 14:37:57,485,950,0,1003.146,69.23,475,77.627,36873,0,0,0.487,1.752
2025-03-04 14:37:59,505,989,0,1008.034,64.366,494.5,76,37582,0,0,0.633,1.63
2025-03-04 14:38:01,525,1028,0,1004.054,66.98,514,76,39064,0,0,0.41,1.628
2025-03-04 14:38:03,546,1069,0,1008.093,64.926,534.5,76.223,40741,0,0,0.787,2.252
2025-03-04 14:38:05,567,1105,0,1006.043,65.593,552.5,77,42542.5,0,0,0.492,1.631
2025-03-04 14:38:07,587,1143,0,1002.235,67.211,571.5,77,44005.5,0,0,0.367,1.454
2025-03-04 14:38:09,606,1192,0,1002.665,67.859,596,77.01,45898,0,0,0.362,1.44
2025-03-04 14:38:11,627,1266,0,1003.674,66.28,633,77,48741,0,0,0.337,1.378
2025-03-04 14:38:13,646,1271,0,1002.611,66.794,635.5,77,48933.5,0,0,0.624,1.657
2025-03-04 14:38:15,667,1331,0,1004.024,68.393,665.5,76.518,50922.5,0,0,0.523,1.814
2025-03-04 14:38:17,687,1346,0,1004.86,64.858,673,75,50475,0,0,0.47,1.62
2025-03-04 14:38:19,708,1398,0,1001.954,66.254,699,75,52425,0,0,0.43,1.499
2025-03-04 14:38:22,728,1437,0,1004.315,65.955,718.5,75.549,54282,0,0,0.502,1.831
2025-03-04 14:38:24,748,1465,0,1007.696,65.231,732.5,77,56402.5,0,0,0.474,1.874
2025-03-04 14:38:26,768,1507,0,1006.354,64.597,753.5,77,58019.5,0,0,0.685,2.328
2025-03-04 14:38:28,788,1561,0,1003.689,66.467,780.5,76.73,59887.5,0,0,0.863,2.573
2025-03-04 14:38:30,810,1603,0,1004.75,64.192,801.5,76,60914,0,0,0.516,2.241
2025-03-04 14:38:32,829,1618,0,1002.158,65.377,809,76,61484,0,0,0.495,1.53
2025-03-04 14:38:34,848,1681,0,1003.578,64.695,840.5,76.838,64582,0,0,0.322,1.501
2025-03-04 14:38:36,869,1718,0,1003.791,68.783,859,79,67861,0,0,0.566,1.665
2025-03-04 14:38:38,889,1749,0,1002.728,65.738,874.5,79,69085.5,0,0,0.439,1.461
2025-03-04 14:38:40,909,1805,0,1000.875,65.917,902.5,78.398,70754.5,0,0,0.379,1.716
2025-03-04 14:38:42,929,1898,0,1002.883,66.164,949,77,73073,0,0,0.525,1.579
2025-03-04 14:38:44,948,1825,0,1004.01,65.34,912.5,77,70262.5,0,0,0.416,1.464
2025-03-04 14:38:46,969,1975,0,1003.062,65.447,987.5,76.379,75424,0,0,0.461,1.576
2025-03-04 14:38:48,988,1958,0,1004.486,65.865,979,75,73425,0,0,0.615,1.707
2025-03-04 14:38:50,1000,1983,0,1004.981,64.406,991.5,75,74362.5,0,0,0.333,1.479
2025-03-04 14:38:52,1000,2003,0,1002.709,66.754,1001.5,76.02,76134,0,0,0.354,1.542
2025-03-04 14:38:54,1000,2005,0,1004.04,64.702,1002.5,78,78195,0,0,0.363,1.691
2025-03-04 14:38:56,1000,1989,0,1003.226,64.267,994.5,78,77571,0,0,0.276,1.436
2025-03-04 14:38:58,1000,2011,0,1004.086,66.353,1005.5,77.653,78080,0,0,0.327,1.398
2025-03-04 14:39:00,1000,2012,0,1005.156,66.492,1006,77,77462,0,0,0.459,1.48
2025-03-04 14:39:02,1000,1983,0,1005.695,66.677,991.5,77,76345.5,0,0,0.438,1.718
2025-03-04 14:39:04,1000,2002,0,1004.521,65.104,1001,76.659,76735.5,0,0,1.036,3.926
