DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 14:50:18,28,33,0,1004.576,73.781,16.5,77,1270.5,0,0,7.485,13.03
2025-03-04 14:50:20,50,74,0,1004.378,60.115,37,77,2849,0,0,1.662,4.041
2025-03-04 14:50:22,69,109,0,1008.78,71.51,54.5,77,4196.5,0,0,1.917,4.596
2025-03-04 14:50:24,87,157,0,1009.013,62.036,78.5,77,6044.5,0,0,1.382,3.732
2025-03-04 14:50:26,107,192,0,1003.615,63.139,96,77,7392,0,0,1.016,2.74
2025-03-04 14:50:28,128,234,0,1011.782,62.277,117,77,9009,0,0,1.124,2.987
2025-03-04 14:50:30,147,276,0,1007.641,68.983,138,77,10626,0,0,0.989,2.996
2025-03-04 14:50:32,168,316,0,1004.709,65.082,158,77,12166,0,0,1.003,2.772
2025-03-04 14:50:34,187,352,0,1009.136,66.029,176,76.943,13542,0,0,1.06,2.963
2025-03-04 14:50:36,209,391,0,1008.609,65.771,195.5,76.01,14860,0,0,0.982,2.742
2025-03-04 14:50:38,227,441,0,1008.349,63.796,220.5,76,16758,0,0,0.739,2.222
2025-03-04 14:50:40,248,476,0,1000.901,62.132,238,76.004,18089,0,0,0.693,2.405
2025-03-04 14:50:42,267,514,0,1006.541,64.026,257,76.006,19533.5,0,0,0.514,2.082
2025-03-04 14:50:44,287,564,0,1006.835,66.857,282,76,21432,0,0,0.53,1.949
2025-03-04 14:50:46,309,603,0,1005.259,62.299,301.5,76.124,22951.5,0,0,0.672,2.249
2025-03-04 14:50:48,328,654,0,1009.015,67.136,327,76.997,25178,0,0,0.647,1.911
2025-03-04 14:50:50,349,672,0,1004.804,64.296,336,77,25872,0,0,0.68,1.921
2025-03-04 14:50:52,368,695,0,1006.426,66.612,347.5,76.876,26714.5,0,0,0.518,1.787
2025-03-04 14:50:54,390,756,0,1006.931,66.746,378,76.001,28728.5,0,0,0.433,1.886
2025-03-04 14:50:56,409,798,0,1002.747,64.492,399,76,30324,0,0,0.48,1.67
2025-03-04 14:50:58,428,866,0,1007.769,66.25,433,76.324,33048.5,0,0,0.445,1.771
2025-03-04 14:51:00,448,878,0,1009.45,65.483,439,78,34242,0,0,0.605,1.777
2025-03-04 14:51:02,468,923,0,1004.015,67.654,461.5,78,35997,0,0,0.529,3.25
2025-03-04 14:51:04,489,959,0,1003.838,64.454,479.5,77.996,37399,0,0,0.509,1.761
2025-03-04 14:51:06,509,1012,0,1000.812,65.279,506,78,39468,0,0,0.585,1.862
2025-03-04 14:51:08,529,1027,0,1004.642,65.465,513.5,78,40053,0,0,0.4,1.406
2025-03-04 14:51:10,549,1092,0,1002.788,66.881,546,77.641,42392,0,0,0.556,1.762
