DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 14:43:20,19,20,0,1034.7,58.97,10,75,750,0,0,9.15,22.75
2025-03-04 14:43:22,39,59,0,1017.034,57.584,29.5,75,2212.5,0,0,1.831,4.729
2025-03-04 14:43:24,58,90,0,1010.089,57.708,45,75,3375,0,0,1.956,4.456
2025-03-04 14:43:26,80,20,0,1416.7,773.791,10,72.5,725,0,0,0.9,401.7
2025-03-04 14:43:28,99,85,0,1754.506,1342.133,42.5,72.871,3097,0,0,0.835,768.459
2025-03-04 14:43:30,120,155,0,1129.948,799.809,77.5,72.974,5655.5,0,0,0.865,130.897
2025-03-04 14:43:32,146,197,0,1099.624,778.589,98.5,72.929,7183.5,0,0,0.929,98.553
2025-03-04 14:43:34,166,290,0,1959.224,2667.394,145,72.803,10556.5,0,0,1.024,956.914
2025-03-04 14:43:36,181,343,0,1000.822,63.637,171.5,74,12691,0,0,0.994,2.539
2025-03-04 14:43:38,204,385,0,1005.795,65.838,192.5,74,14245,0,0,0.865,2.584
2025-03-04 14:43:40,222,119,0,998.471,68.073,59.5,74,4403,0,0,1.008,2.647
2025-03-04 14:43:42,241,16,0,1330.75,828.822,8,74,592,0,0,0.562,315.812
2025-03-04 14:43:44,262,66,0,1360.288,1240.714,33,72.879,2405,0,0,0.924,357.273
2025-03-04 14:43:46,281,127,0,1599.15,1833.871,63.5,72.425,4599,0,0,0.921,594.016
2025-03-04 14:43:48,303,223,0,1976.502,2608.448,111.5,72.641,8099.5,0,0,0.812,967.982
2025-03-04 14:43:50,322,283,0,1444.816,2086.942,141.5,73.297,10371.5,0,0,0.629,440.519
2025-03-04 14:43:52,343,350,0,1490.566,2480.42,175,71.151,12451.5,0,0,0.689,487.294
2025-03-04 14:43:54,363,419,0,1509.594,2630.641,209.5,73.814,15464,0,0,0.551,506.422
2025-03-04 14:43:56,385,490,0,1340.529,2256.894,245,73.984,18126,0,0,0.514,342.343
2025-03-04 14:43:58,404,601,0,2028.449,4108.546,300.5,74.319,22333,0,0,0.546,1023.311
2025-03-04 14:44:00,424,638,0,1036.265,805.631,319,74.638,23809.5,0,0,0.646,33.592
2025-03-04 14:44:02,444,675,0,1070.003,1158.766,337.5,72.532,24479.5,0,0,0.572,64.816
2025-03-04 14:44:04,465,763,0,2057.185,4946.207,381.5,72.058,27490,0,0,0.48,1052.244
2025-03-04 14:44:06,486,860,0,1529.843,3594.268,430,74.248,31926.5,0,0,0.444,527.243
2025-03-04 14:44:08,505,939,0,1563.486,3884.086,469.5,73.586,34548.5,0,0,0.472,559.793
2025-03-04 14:44:10,526,1006,0,1600.732,4178.961,503,73.622,37032,0,0,0.441,595.424
2025-03-04 14:44:12,546,1067,0,1004.315,67.294,533.5,74,39479,0,0,0.465,1.77
2025-03-04 14:44:14,566,1113,0,1004.396,64.391,556.5,74,41181,0,0,0.624,1.867
2025-03-04 14:44:16,585,793,0,1000.231,69.573,396.5,74,29341,0,0,0.649,2.502
2025-03-04 14:44:18,606,7,0,2370.286,1160.724,3.5,72.286,253,0,0,0.714,1336.429
2025-03-04 14:44:20,626,61,0,1809.639,1610.065,30.5,72.557,2213,0,0,0.721,815.705
2025-03-04 14:44:22,647,153,0,1746.869,1812.251,76.5,73.536,5625.5,0,0,0.562,744.732
2025-03-04 14:44:24,667,202,0,1121.812,929.658,101,72.386,7311,0,0,0.515,114.99
2025-03-04 14:44:26,685,241,0,1123.726,1084.908,120.5,72.336,8716.5,0,0,0.49,122.892
2025-03-04 14:44:28,706,318,0,1537.802,2424.347,159,73.28,11651.5,0,0,0.484,539.352
2025-03-04 14:44:30,726,391,0,1640.673,2826.154,195.5,72.967,14265,0,0,0.373,639.414
2025-03-04 14:44:32,746,450,0,1691.004,3253.84,225,73.104,16448.5,0,0,0.402,683.711
2025-03-04 14:44:34,766,511,0,1189.663,1821.611,255.5,72.971,18644,0,0,0.431,182.697
2025-03-04 14:44:36,785,601,0,1530.802,3099.681,300.5,73.19,21993.5,0,0,0.368,530.295
2025-03-04 14:44:38,806,672,0,1512.433,3262.847,336,73.378,24655,0,0,0.32,510.558
2025-03-04 14:44:40,827,738,0,1675.126,3932.49,369,73.299,27047.5,0,0,0.297,673.297
2025-03-04 14:44:42,846,803,0,1224.941,2363.745,401.5,73.445,29488,0,0,0.3,222.677
2025-03-04 14:44:44,866,878,0,1398.173,3240.88,439,73.003,32048.5,0,0,0.272,397.953
2025-03-04 14:44:46,888,956,0,2315.304,6128.706,478,72.683,34742.5,0,0,0.305,1314.74
2025-03-04 14:44:48,906,1048,0,1148.716,2091.428,524,73.994,38773,0,0,0.342,146.041
2025-03-04 14:44:50,928,1099,0,1037.66,1005.381,549.5,72.854,40033,0,0,0.303,31.561
2025-03-04 14:44:52,950,1167,0,1517.422,4214.203,583.5,73.098,42652.5,0,0,0.332,514.087
2025-03-04 14:44:54,969,1215,0,1256.6,3079.359,607.5,72.635,44125.5,0,0,0.305,252.009
2025-03-04 14:44:56,988,1298,0,2289.105,7014.4,649,72.853,47281.5,0,0,0.287,1283.236
2025-03-04 14:44:58,1000,1398,0,1063.418,1574.318,699,73.263,51211,0,0,0.292,61.019
2025-03-04 14:45:00,1000,1398,0,1222.938,3092.853,699,72.021,50342.5,0,0,0.3,220.916
2025-03-04 14:45:02,1000,1406,0,1105.46,2147.415,703,72.007,50621,0,0,0.29,100.389
2025-03-04 14:45:04,1000,1443,0,1864.366,6336.206,721.5,72.796,52522.5,0,0,0.308,859.643
2025-03-04 14:45:06,1000,1474,0,1413.905,4512.501,737,72.142,53168.5,0,0,0.307,409.942
2025-03-04 14:45:08,1000,1135,0,1316.389,3976.7,567.5,73.347,41624.5,0,0,0.269,314.644
2025-03-04 14:45:10,1000,1538,0,1728.59,6165.73,769,73.133,56239.5,0,0,0.285,726.633
2025-03-04 14:45:12,1000,1590,0,1893.855,6888.276,795,72.52,57653.5,0,0,0.275,889.586
2025-03-04 14:45:14,1000,1640,0,1074.302,2009.744,820,69.624,57091.5,0,0,0.256,71.259
2025-03-04 14:45:16,1000,1569,0,1228.941,3651.08,784.5,73.604,57742.5,0,0,0.243,227.595
2025-03-04 14:45:18,1000,1810,190,1104.015,2436.106,905,72.997,66062.5,0,0,0.24,233.461
2025-03-04 14:45:20,1000,2050,0,1004.928,65.309,1025,73,74825,0,0,0.235,1.423
2025-03-04 14:45:22,1000,1477,0,1004.658,66.738,738.5,73,53910.5,0,0,0.219,1.365
2025-03-04 14:45:24,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:45:26,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:45:28,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:45:30,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:45:32,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:45:34,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:45:36,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:45:38,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 14:45:40,1000,0,0,0,0,0,0,0,0,0,0,0
