DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 15:21:07,28,26,0,1032.769,83.303,13,75.077,976,0,0,6.077,21.038
2025-03-04 15:21:09,48,65,0,1010.169,60.784,32.5,75,2437.5,0,0,1.492,3.769
2025-03-04 15:21:11,68,102,0,1009.451,61.276,51,75,3825,0,0,1.265,3.225
2025-03-04 15:21:13,88,26,0,1262.423,523.448,13,73.462,955,0,0,0.962,248.346
2025-03-04 15:21:15,108,93,0,1404.656,1002.385,46.5,73.538,3419.5,0,0,0.946,411.344
2025-03-04 15:21:17,126,179,0,1722.743,1714.206,89.5,73.737,6599.5,0,0,0.67,720.615
2025-03-04 15:21:19,145,248,0,1478.448,1742.072,124,73.238,9081.5,0,0,0.621,473.367
2025-03-04 15:21:21,165,309,0,1012.628,62.837,154.5,74,11433,0,0,0.683,2.317
2025-03-04 15:21:23,189,342,0,1009.064,66.909,171,74,12654,0,0,0.626,2.146
2025-03-04 15:21:25,205,165,0,1008.709,69.508,82.5,74,6105,0,0,0.6,2.073
2025-03-04 15:21:27,225,10,0,1242.5,702.271,5,74,370,0,0,0.8,224.1
2025-03-04 15:21:29,245,83,0,1939.349,1727.371,41.5,73.084,3033,0,0,0.627,932.988
2025-03-04 15:21:31,265,153,0,1668.196,1905.978,76.5,72.052,5512,0,0,0.556,671.255
2025-03-04 15:21:33,285,215,0,1339.344,1628.315,107.5,72.581,7802.5,0,0,0.53,339.684
2025-03-04 15:21:35,307,306,0,1925.451,2893.532,153,72.359,11071,0,0,0.51,918.003
2025-03-04 15:21:37,326,368,0,1273.97,1722.618,184,72.524,13344.5,0,0,0.5,272.842
2025-03-04 15:21:39,346,452,0,1819.405,3241.397,226,73.416,16592,0,0,0.35,817.978
2025-03-04 15:21:41,367,527,0,1275.125,2052.752,263.5,73.873,19465.5,0,0,0.287,271.742
2025-03-04 15:21:43,387,590,0,1716.507,3557.198,295,73.508,21685,0,0,0.219,717.639
2025-03-04 15:21:45,406,690,0,1458.141,2999.36,345,73.81,25464.5,0,0,0.167,462.754
2025-03-04 15:21:47,426,729,0,1212.964,2154.887,364.5,73.833,26912,0,0,0.224,213.027
2025-03-04 15:21:49,448,825,0,2124.082,5031.464,412.5,73.909,30487.5,0,0,0.225,1121.085
2025-03-04 15:21:51,467,910,0,1162.893,1924.406,455,73.989,33665,0,0,0.337,158.127
2025-03-04 15:21:53,487,961,0,1001.503,65.815,480.5,74,35557,0,0,0.336,1.524
2025-03-04 15:21:55,507,810,0,1003.815,65.208,405,74,29970,0,0,0.494,1.801
2025-03-04 15:21:57,527,7,0,1547.286,961.544,3.5,73,255.5,0,0,0.714,593.714
2025-03-04 15:21:59,547,50,0,1583.76,1341.779,25,72.92,1823,0,0,0.5,575.34
2025-03-04 15:22:01,568,123,0,1932.618,2122.043,61.5,72.504,4459,0,0,0.48,934.813
2025-03-04 15:22:03,589,213,0,1693.587,2125.1,106.5,73.62,7840.5,0,0,0.577,682.465
2025-03-04 15:22:05,608,285,0,1791.579,2609.799,142.5,73.779,10513.5,0,0,0.344,790.344
2025-03-04 15:22:07,627,380,0,1452.345,2108.459,190,75.513,14347.5,0,0,0.353,442.15
2025-03-04 15:22:09,647,434,0,1127.129,1271.467,217,72.691,15774,0,0,0.27,122.721
2025-03-04 15:22:11,667,502,0,1567.016,2863.128,251,72.578,18217,0,0,0.281,568.295
2025-03-04 15:22:13,689,584,0,1559.673,3112.642,292,71.32,20825.5,0,0,0.317,555.94
2025-03-04 15:22:15,708,640,0,1507.892,3112.943,320,71.492,22877.5,0,0,0.367,499.789
2025-03-04 15:22:17,729,694,0,1182.236,1891.096,347,73.88,25636.5,0,0,0.304,177.976
2025-03-04 15:22:19,749,784,0,1525.492,3405.313,392,73.959,28992,0,0,0.268,523.165
2025-03-04 15:22:21,768,872,0,1599.273,3786.523,436,73.979,32255,0,0,0.372,596.325
2025-03-04 15:22:23,789,927,0,1567.365,3876.19,463.5,73.372,34008,0,0,0.367,562.364
2025-03-04 15:22:25,809,1012,0,1671.956,4377.728,506,72.528,36699,0,0,0.421,669.018
2025-03-04 15:22:27,829,1101,0,1369.414,3354.161,550.5,73.005,40189.5,0,0,0.466,368.035
2025-03-04 15:22:29,848,1166,0,1316.84,3220.927,583,73.512,42857.5,0,0,0.462,315.873
2025-03-04 15:22:31,869,1237,0,1592.654,4490.774,618.5,72.645,44931,0,0,0.463,591.496
2025-03-04 15:22:33,890,1317,0,1423.121,3931.192,658.5,72.799,47938,0,0,0.386,423.191
2025-03-04 15:22:35,910,1381,0,1429.448,4066.669,690.5,73.495,50748.5,0,0,0.335,427.302
2025-03-04 15:22:37,930,1449,0,1691.86,5285.326,724.5,73.538,53278,0,0,0.273,686.83
2025-03-04 15:22:39,951,1558,0,1681.055,5335.773,779,73.151,56984.5,0,0,0.266,682.929
2025-03-04 15:22:41,971,1605,0,1006.363,65.141,802.5,72.058,57826.5,0,0,0.275,1.434
2025-03-04 15:22:43,991,1655,0,1431.656,4462.934,827.5,72.479,59976,0,0,0.234,428.135
2025-03-04 15:22:45,1000,1749,0,1309.03,3844.834,874.5,72.523,63421.5,0,0,0.196,307.345
2025-03-04 15:22:47,1000,1765,0,1638.086,5656.502,882.5,71.443,63048.5,0,0,0.178,636.464
2025-03-04 15:22:49,1000,1840,0,2037.589,7336.839,920,72.939,67104,0,0,0.166,1037.339
2025-03-04 15:22:51,1000,1871,0,1232.694,3528.225,935.5,73.034,68323,0,0,0.19,232.449
2025-03-04 15:22:53,1000,1896,0,1455.815,5069.634,948,73.092,69291.5,0,0,0.187,453.819
2025-03-04 15:22:55,1000,1915,0,1519.058,5440.25,957.5,72.913,69814,0,0,0.158,516.05
2025-03-04 15:22:57,1000,1972,35,1008.106,65.824,986,73,71978,0,0,0.231,31.638
2025-03-04 15:22:59,1000,1278,0,1004.844,65.741,639,73,46647,0,0,0.318,1.441
2025-03-04 15:23:01,1000,1,0,3273,0,0.5,74,37,0,0,0,2241
2025-03-04 15:23:03,1000,17,0,3537.765,1678.274,8.5,72,612,0,0,0.647,2540.353
2025-03-04 15:23:05,1000,43,0,2331.395,2292.398,21.5,72.674,1562.5,0,0,0.465,1335.442
2025-03-04 15:23:07,1000,77,0,3252.286,3447.341,38.5,71.909,2768.5,0,0,0.506,2248.675
2025-03-04 15:23:09,1000,123,0,2174.325,3051.081,61.5,71.764,4413.5,0,0,0.488,1170.886
2025-03-04 15:23:11,1000,149,0,2043.315,3237.377,74.5,73.403,5468.5,0,0,0.376,1040.342
2025-03-04 15:23:13,1000,183,0,2444.781,4126.605,91.5,73.339,6710.5,0,0,0.448,1447.508
2025-03-04 15:23:15,1000,232,0,2158.427,3974.072,116,73.595,8537,0,0,0.397,1153.608
2025-03-04 15:23:17,1000,248,0,2080.327,4239.028,124,73.798,9151,0,0,0.359,1076.734
2025-03-04 15:23:20,1000,290,0,2383.566,4938.686,145,72.79,10554.5,0,0,0.383,1379.407
2025-03-04 15:23:22,1000,349,0,3238.221,6587.989,174.5,73.384,12805.5,0,0,0.407,2234.481
2025-03-04 15:23:24,1000,380,0,1238.024,2258.209,190,74.908,14232.5,0,0,0.387,233.766
2025-03-04 15:23:26,1000,379,0,1139.559,1835.542,189.5,73.224,13876,0,0,0.391,134.398
2025-03-04 15:23:28,1000,424,0,3216.983,7489.399,212,71.616,15182.5,0,0,0.408,2212.682
2025-03-04 15:23:30,1000,467,0,1379.887,3275.442,233.5,73.124,17074.5,0,0,0.39,374.499
2025-03-04 15:23:32,1000,491,0,1827.173,4991.832,245.5,73.053,17934.5,0,0,0.407,823.143
2025-03-04 15:23:34,1000,521,0,3002.466,7928.603,260.5,73.035,19025.5,0,0,0.399,1995.234
2025-03-04 15:23:36,1000,557,0,1064.901,1444.305,278.5,73.987,20605.5,0,0,0.354,62.307
2025-03-04 15:23:38,1000,598,0,2940.513,8290.737,299,73.634,22016.5,0,0,0.289,1939.649
2025-03-04 15:23:40,1000,639,0,1615.008,4852.148,319.5,73.3,23419.5,0,0,0.282,612.477
2025-03-04 15:23:42,1000,692,0,2884.773,8550.246,346,74.058,25624,0,0,0.241,1884.137
2025-03-04 15:23:44,1000,702,0,1067.224,1617.523,351,72.724,25526,0,0,0.201,62.145
2025-03-04 15:23:46,1000,719,0,1634.886,5305.684,359.5,72.586,26094.5,0,0,0.164,631.903
2025-03-04 15:23:48,1000,759,0,2688.714,8766.717,379.5,72.618,27558.5,0,0,0.132,1684.762
2025-03-04 15:23:50,1000,808,0,1977.8,6856.151,404,72.486,29284.5,0,0,0.126,975.823
2025-03-04 15:23:52,1000,815,0,1569.258,5373.331,407.5,72.525,29554,0,0,0.113,569.117
2025-03-04 15:23:54,1000,846,0,2071.377,7433.718,423,72.678,30743,0,0,0.197,1065.884
2025-03-04 15:23:56,1000,885,0,2067.939,7598.36,442.5,72.678,32160,0,0,0.234,1064.94
2025-03-04 15:23:58,1000,936,0,2538.332,9255.798,468,73.35,34328,0,0,0.137,1533.824
2025-03-04 15:24:00,1000,997,76,2413.92,8987.845,498.5,72.985,36383,0,0,0.155,1473.528
2025-03-04 15:24:02,1000,1588,427,1004.699,65.393,794,73,57962,0,0,0.2,152.56
2025-03-04 15:24:04,1000,2016,0,1001.693,66.44,1008,73,73584,0,0,0.189,1.422
2025-03-04 15:24:06,1000,510,0,1003.106,62.681,255,73,18615,0,0,0.288,1.602
2025-03-04 15:24:08,1000,2,0,2099,1110,1,74,74,0,0,0,1036.5
2025-03-04 15:24:10,1000,2,0,966,29,1,74,74,0,0,1,2.5
2025-03-04 15:24:12,1000,2,0,962,50,1,74,74,0,0,1,1
2025-03-04 15:24:14,1000,1,0,984,0,0.5,74,37,0,0,0,1
2025-03-04 15:24:16,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:18,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:20,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:22,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:24,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:26,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:28,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:30,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:32,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:34,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:36,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:38,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:40,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:42,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:44,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:46,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:48,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:50,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:52,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:54,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:56,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:24:58,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:00,1000,6,0,56150.667,146.532,3,72.833,218.5,0,0,0,55126.667
2025-03-04 15:25:02,1000,36,0,22871.5,27407.413,18,72.417,1303.5,0,0,0.472,21854.667
2025-03-04 15:25:04,1000,56,0,12539.214,23330.722,28,71.946,2014.5,0,0,0.393,11532.786
2025-03-04 15:25:06,1000,464,963,1637.36,6154.599,232,72,16704,0,0,0.248,772.61
2025-03-04 15:25:08,1000,1994,0,1001.682,64.919,997,72,71784,0,0,0.172,1.563
2025-03-04 15:25:10,1000,1542,0,1003.304,65.334,771,72,55512,0,0,0.177,1.494
2025-03-04 15:25:12,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:14,1000,0,1,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:16,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:18,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:20,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:22,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:24,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:26,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:28,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:30,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:32,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:34,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:36,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:38,1000,0,0,0,0,0,0,0,0,0,0,0
2025-03-04 15:25:40,1000,0,0,0,0,0,0,0,0,0,0,0
