Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741069263,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,0.00%,"12.11MiB / 20MiB",60.55%,"148MB / 139MB","0B / 36.5MB",13
1741069263,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.28%,"66.95MiB / 7.653GiB",0.85%,"479kB / 614kB","0B / 16.4kB",30
1741069263,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,0.28%,"79.93MiB / 100MiB",79.93%,"336kB / 245kB","930kB / 4.96MB",28
1741069275,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,1.41%,"12.93MiB / 20MiB",64.67%,"148MB / 139MB","0B / 36.7MB",13
1741069275,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.26%,"67.24MiB / 7.653GiB",0.86%,"534kB / 683kB","0B / 16.4kB",30
1741069275,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,102.31%,"82.8MiB / 100MiB",82.80%,"377kB / 272kB","930kB / 4.96MB",39
1741069287,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,0.75%,"15MiB / 20MiB",75.00%,"149MB / 140MB","0B / 37MB",13
1741069287,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.16%,"68.67MiB / 7.653GiB",0.88%,"652kB / 839kB","0B / 16.4kB",30
1741069287,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,107.07%,"81.23MiB / 100MiB",81.23%,"487kB / 315kB","1.04MB / 12.3MB",56
1741069299,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,3.64%,"14.62MiB / 20MiB",73.11%,"150MB / 141MB","0B / 37.6MB",13
1741069299,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.16%,"68.2MiB / 7.653GiB",0.87%,"704kB / 899kB","0B / 16.4kB",30
1741069299,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,107.03%,"81.55MiB / 100MiB",81.55%,"506kB / 354kB","1.04MB / 12.3MB",52
