Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741068880,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,0.00%,"10.36MiB / 20MiB",51.80%,"1.37kB / 0B","0B / 4.1kB",14
1741068880,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.14%,"65.19MiB / 7.653GiB",0.83%,"1.37kB / 0B","0B / 16.4kB",30
1741068880,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,0.17%,"48.29MiB / 100MiB",48.29%,"1.63kB / 0B","0B / 201kB",16
1741068892,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,4.38%,"11.13MiB / 20MiB",55.64%,"268kB / 250kB","0B / 8.19kB",14
1741068892,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.24%,"65.27MiB / 7.653GiB",0.83%,"3.5kB / 2.46kB","0B / 16.4kB",30
1741068892,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,0.32%,"49.65MiB / 100MiB",49.65%,"3kB / 989B","0B / 201kB",17
1741068904,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,6.74%,"10.92MiB / 20MiB",54.61%,"1.41MB / 1.32MB","0B / 188kB",14
1741068904,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.36%,"65.33MiB / 7.653GiB",0.83%,"5.52kB / 4.87kB","0B / 16.4kB",30
1741068904,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,0.28%,"49.66MiB / 100MiB",49.66%,"4.28kB / 2.07kB","0B / 201kB",17
1741068916,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,8.46%,"11.14MiB / 20MiB",55.72%,"3.44MB / 3.22MB","0B / 221kB",13
1741068916,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.19%,"65.56MiB / 7.653GiB",0.84%,"12.9kB / 14.1kB","0B / 16.4kB",30
1741068916,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,0.24%,"50.61MiB / 100MiB",50.61%,"9.05kB / 5.72kB","0B / 201kB",21
1741068928,8c1f75779d18,reverse_proxy_test-cache-1,8c1f75779d18,8.83%,"11.53MiB / 20MiB",57.66%,"6.35MB / 5.96MB","0B / 1.51MB",13
1741068928,1cfbd8856e2c,reverse_proxy_test-lb-1,1cfbd8856e2c,0.17%,"65.64MiB / 7.653GiB",0.84%,"26.8kB / 31.6kB","0B / 16.4kB",30
1741068928,1c49572c3806,reverse_proxy_test-api-1,1c49572c3806,0.22%,"55.87MiB / 100MiB",55.87%,"18.6kB / 13kB","0B / 201kB",25
