Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741066994,06ca8642fbb9,reverse_proxy_test-cache-1,06ca8642fbb9,0.00%,"11.88MiB / 20MiB",59.39%,"148MB / 139MB","0B / 36.3MB",13
1741066994,7d856e84d64c,reverse_proxy_test-lb-1,7d856e84d64c,0.15%,"66.77MiB / 7.653GiB",0.85%,"421kB / 537kB","0B / 16.4kB",31
1741066994,ef503a49becd,reverse_proxy_test-api-1,ef503a49becd,0.14%,"85.07MiB / 100MiB",85.07%,"294kB / 216kB","0B / 201kB",50
1741067006,06ca8642fbb9,reverse_proxy_test-cache-1,06ca8642fbb9,0.90%,"12.51MiB / 20MiB",62.54%,"148MB / 139MB","0B / 36.4MB",13
1741067006,7d856e84d64c,reverse_proxy_test-lb-1,7d856e84d64c,0.23%,"67.13MiB / 7.653GiB",0.86%,"467kB / 596kB","0B / 16.4kB",31
1741067006,ef503a49becd,reverse_proxy_test-api-1,ef503a49becd,101.02%,"89.28MiB / 100MiB",89.28%,"332kB / 236kB","0B / 201kB",51
1741067018,06ca8642fbb9,reverse_proxy_test-cache-1,06ca8642fbb9,1.08%,"14.64MiB / 20MiB",73.20%,"149MB / 140MB","0B / 36.7MB",13
1741067018,7d856e84d64c,reverse_proxy_test-lb-1,7d856e84d64c,0.69%,"68.93MiB / 7.653GiB",0.88%,"591kB / 760kB","0B / 16.4kB",31
1741067018,ef503a49becd,reverse_proxy_test-api-1,ef503a49becd,100.65%,"72.82MiB / 100MiB",72.82%,"449kB / 281kB","266kB / 946kB",56
1741067030,06ca8642fbb9,reverse_proxy_test-cache-1,06ca8642fbb9,2.73%,"14.48MiB / 20MiB",72.38%,"150MB / 141MB","0B / 37.2MB",13
1741067030,7d856e84d64c,reverse_proxy_test-lb-1,7d856e84d64c,0.30%,"68.7MiB / 7.653GiB",0.88%,"630kB / 806kB","0B / 16.4kB",31
1741067030,ef503a49becd,reverse_proxy_test-api-1,ef503a49becd,100.33%,"62.09MiB / 100MiB",62.09%,"463kB / 309kB","266kB / 946kB",55
