Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741069770,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.18%,"74.36MiB / 7.653GiB",0.95%,"1.11MB / 1.41MB","0B / 16.4kB",30
1741069770,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,109.99%,"89.45MiB / 500MiB",17.89%,"817kB / 557kB","0B / 201kB",56
1741069782,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,9.22%,"16.97MiB / 20MiB",84.84%,"29.6MB / 27.9MB","2.05MB / 19MB",13
1741069782,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.09%,"73.62MiB / 7.653GiB",0.94%,"1.19MB / 1.49MB","0B / 16.4kB",30
1741069782,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,112.33%,"78.34MiB / 500MiB",15.67%,"844kB / 611kB","0B / 201kB",56
1741069794,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.02%,"19.24MiB / 20MiB",96.19%,"34.7MB / 32.6MB","2.76MB / 30.4MB",13
1741069794,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.14%,"80.54MiB / 7.653GiB",1.03%,"1.7MB / 2.2MB","0B / 16.4kB",30
1741069794,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,108.12%,"82.95MiB / 500MiB",16.59%,"1.36MB / 777kB","0B / 201kB",51
1741069806,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,1.16%,"19.71MiB / 20MiB",98.57%,"35MB / 33MB","3.84MB / 31MB",13
1741069806,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.14%,"80.12MiB / 7.653GiB",1.02%,"1.75MB / 2.25MB","0B / 16.4kB",30
1741069806,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,109.62%,"94.92MiB / 500MiB",18.98%,"1.38MB / 814kB","0B / 201kB",56
1741069818,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,2.74%,"19.4MiB / 20MiB",97.01%,"36.2MB / 34.1MB","5.3MB / 31.8MB",13
1741069818,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.22%,"79.44MiB / 7.653GiB",1.01%,"1.82MB / 2.33MB","0B / 16.4kB",30
1741069818,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,105.21%,"85.88MiB / 500MiB",17.18%,"1.4MB / 864kB","0B / 201kB",52
1741069830,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,4.87%,"18.84MiB / 20MiB",94.18%,"38.3MB / 36.1MB","6.64MB / 33.5MB",13
1741069830,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.34%,"78.68MiB / 7.653GiB",1.00%,"1.9MB / 2.42MB","0B / 16.4kB",30
1741069830,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,105.79%,"77.77MiB / 500MiB",15.55%,"1.43MB / 921kB","0B / 201kB",48
1741069842,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,5.34%,"19.34MiB / 20MiB",96.70%,"41.5MB / 39MB","8.06MB / 35MB",13
1741069842,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.19%,"78.11MiB / 7.653GiB",1.00%,"1.95MB / 2.48MB","0B / 16.4kB",30
1741069842,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,105.06%,"83.13MiB / 500MiB",16.63%,"1.45MB / 960kB","0B / 201kB",56
1741069854,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,10.74%,"15.96MiB / 20MiB",79.80%,"46.4MB / 43.7MB","11.7MB / 37.5MB",13
1741069854,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.25%,"77.36MiB / 7.653GiB",0.99%,"2.09MB / 2.73MB","0B / 16.4kB",30
1741069854,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,112.35%,"95.88MiB / 500MiB",19.18%,"1.5MB / 1.03MB","0B / 201kB",56
1741069866,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.00%,"19.2MiB / 20MiB",95.98%,"47.3MB / 44.6MB","13.5MB / 45.4MB",13
1741069866,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.08%,"83.17MiB / 7.653GiB",1.06%,"2.57MB / 3.37MB","0B / 16.4kB",30
1741069866,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,109.67%,"94.61MiB / 500MiB",18.92%,"2.01MB / 1.18MB","0B / 201kB",57
1741069878,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.00%,"19.2MiB / 20MiB",95.98%,"47.4MB / 44.7MB","13.5MB / 45.6MB",13
