Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741067414,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"10.36MiB / 20MiB",51.82%,"1.31kB / 0B","0B / 4.1kB",14
1741067414,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.27%,"63.16MiB / 7.653GiB",0.81%,"1.31kB / 0B","0B / 16.4kB",28
1741067414,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,0.27%,"48.29MiB / 200MiB",24.14%,"1.57kB / 0B","0B / 201kB",16
1741067426,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,4.38%,"11.33MiB / 20MiB",56.66%,"490kB / 458kB","0B / 20.5kB",14
1741067426,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.40%,"63.32MiB / 7.653GiB",0.81%,"6.48kB / 6.07kB","0B / 16.4kB",28
1741067426,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,1.22%,"52.34MiB / 200MiB",26.17%,"4.86kB / 2.61kB","0B / 201kB",19
1741067438,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,6.19%,"11.55MiB / 20MiB",57.77%,"1.86MB / 1.75MB","0B / 258kB",13
1741067438,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.70%,"63.62MiB / 7.653GiB",0.81%,"20.8kB / 24.3kB","0B / 16.4kB",28
1741067438,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,6.03%,"57.41MiB / 200MiB",28.71%,"14.6kB / 9.91kB","0B / 201kB",25
1741067450,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,7.48%,"11.2MiB / 20MiB",56.02%,"4.12MB / 3.86MB","0B / 799kB",13
1741067450,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.46%,"63.61MiB / 7.653GiB",0.81%,"29kB / 34.1kB","0B / 16.4kB",28
1741067450,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,2.71%,"59.43MiB / 200MiB",29.71%,"19.9kB / 14.2kB","0B / 201kB",20
1741067462,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,10.23%,"10.92MiB / 20MiB",54.59%,"7.26MB / 6.81MB","0B / 1.67MB",13
1741067462,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.50%,"63.66MiB / 7.653GiB",0.81%,"38.9kB / 46.5kB","0B / 16.4kB",28
1741067462,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,3.18%,"58.7MiB / 200MiB",29.35%,"26.6kB / 19.5kB","0B / 201kB",21
1741067475,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,11.84%,"11.1MiB / 20MiB",55.49%,"11.3MB / 10.6MB","0B / 1.74MB",13
1741067475,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.55%,"63.76MiB / 7.653GiB",0.81%,"54.3kB / 66.2kB","0B / 16.4kB",28
1741067475,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,3.82%,"60.33MiB / 200MiB",30.16%,"37.2kB / 27.4kB","0B / 201kB",23
1741067487,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,13.72%,"12.04MiB / 20MiB",60.18%,"16.2MB / 15.2MB","0B / 2.98MB",13
1741067487,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.73%,"63.86MiB / 7.653GiB",0.81%,"71.7kB / 88.4kB","0B / 16.4kB",28
1741067487,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,4.94%,"56.47MiB / 200MiB",28.24%,"49.3kB / 36.3kB","0B / 201kB",26
1741067499,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,14.85%,"12.34MiB / 20MiB",61.72%,"22MB / 20.6MB","0B / 5.48MB",13
1741067499,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.88%,"64.04MiB / 7.653GiB",0.82%,"95.8kB / 119kB","0B / 16.4kB",29
1741067499,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,8.18%,"56.99MiB / 200MiB",28.49%,"66.3kB / 48.6kB","0B / 201kB",28
1741067511,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,10.50%,"11.79MiB / 20MiB",58.93%,"28.6MB / 26.9MB","0B / 6.84MB",13
1741067511,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.54%,"64.11MiB / 7.653GiB",0.82%,"109kB / 137kB","0B / 16.4kB",29
1741067511,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,5.24%,"56.11MiB / 200MiB",28.06%,"75.7kB / 55.7kB","0B / 201kB",26
1741067523,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,10.96%,"12.13MiB / 20MiB",60.66%,"35.9MB / 33.7MB","0B / 8.18MB",13
1741067523,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.41%,"64.19MiB / 7.653GiB",0.82%,"124kB / 155kB","0B / 16.4kB",29
1741067523,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,3.05%,"56.09MiB / 200MiB",28.05%,"85.8kB / 63.2kB","0B / 201kB",25
1741067535,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,25.11%,"11.67MiB / 20MiB",58.36%,"43.2MB / 40.5MB","0B / 9.49MB",13
1741067535,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,1.83%,"64.32MiB / 7.653GiB",0.82%,"147kB / 185kB","0B / 16.4kB",29
1741067535,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,3.78%,"58.59MiB / 200MiB",29.29%,"102kB / 75.1kB","0B / 201kB",32
1741067547,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,13.75%,"12.48MiB / 20MiB",62.38%,"50.4MB / 47.4MB","0B / 12.1MB",13
1741067547,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.54%,"64.36MiB / 7.653GiB",0.82%,"162kB / 204kB","0B / 16.4kB",29
1741067547,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,3.94%,"56.88MiB / 200MiB",28.44%,"112kB / 82.8kB","0B / 201kB",24
1741067559,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,12.01%,"11.94MiB / 20MiB",59.71%,"57.7MB / 54.2MB","0B / 13.3MB",13
1741067559,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.38%,"64.37MiB / 7.653GiB",0.82%,"171kB / 215kB","0B / 16.4kB",29
1741067559,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,3.15%,"56.68MiB / 200MiB",28.34%,"118kB / 87.3kB","0B / 201kB",23
1741067571,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,13.29%,"11.82MiB / 20MiB",59.10%,"65MB / 61MB","0B / 15.9MB",13
1741067571,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.91%,"64.49MiB / 7.653GiB",0.82%,"191kB / 241kB","0B / 16.4kB",29
1741067571,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,9.98%,"62.71MiB / 200MiB",31.36%,"132kB / 97.4kB","0B / 201kB",34
1741067583,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,11.74%,"12.28MiB / 20MiB",61.41%,"72.3MB / 67.9MB","0B / 17.1MB",13
1741067583,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.33%,"64.49MiB / 7.653GiB",0.82%,"203kB / 257kB","0B / 16.4kB",29
1741067583,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,2.15%,"58.41MiB / 200MiB",29.21%,"141kB / 104kB","0B / 201kB",23
