Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741066630,06ca8642fbb9,reverse_proxy_test-cache-1,06ca8642fbb9,1.19%,"10.84MiB / 20MiB",54.22%,"26.3kB / 23.3kB","0B / 0B",14
1741066630,7d856e84d64c,reverse_proxy_test-lb-1,7d856e84d64c,0.20%,"65.27MiB / 7.653GiB",0.83%,"2.57kB / 1.26kB","0B / 0B",30
1741066630,ef503a49becd,reverse_proxy_test-api-1,ef503a49becd,0.33%,"49.5MiB / 100MiB",49.50%,"2.37kB / 450B","0B / 0B",17
1741066642,06ca8642fbb9,reverse_proxy_test-cache-1,06ca8642fbb9,5.41%,"10.84MiB / 20MiB",54.20%,"675kB / 632kB","0B / 28.7kB",14
1741066642,7d856e84d64c,reverse_proxy_test-lb-1,7d856e84d64c,0.24%,"65.34MiB / 7.653GiB",0.83%,"4.59kB / 3.67kB","0B / 16.4kB",30
1741066642,ef503a49becd,reverse_proxy_test-api-1,ef503a49becd,0.22%,"49.64MiB / 100MiB",49.64%,"3.64kB / 1.53kB","0B / 201kB",17
1741066654,06ca8642fbb9,reverse_proxy_test-cache-1,06ca8642fbb9,8.05%,"11.07MiB / 20MiB",55.35%,"2.2MB / 2.06MB","0B / 295kB",14
1741066654,7d856e84d64c,reverse_proxy_test-lb-1,7d856e84d64c,0.23%,"65.47MiB / 7.653GiB",0.84%,"8.36kB / 8.34kB","0B / 16.4kB",30
1741066654,ef503a49becd,reverse_proxy_test-api-1,ef503a49becd,0.28%,"50.11MiB / 100MiB",50.11%,"6.06kB / 3.42kB","0B / 201kB",19
1741066666,06ca8642fbb9,reverse_proxy_test-cache-1,06ca8642fbb9,8.66%,"11.4MiB / 20MiB",57.01%,"4.61MB / 4.33MB","0B / 909kB",14
1741066666,7d856e84d64c,reverse_proxy_test-lb-1,7d856e84d64c,0.34%,"65.62MiB / 7.653GiB",0.84%,"15.3kB / 16.7kB","0B / 16.4kB",30
