Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741067817,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"12.05MiB / 20MiB",60.25%,"149MB / 139MB","0B / 36.6MB",13
1741067817,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.17%,"64.88MiB / 7.653GiB",0.83%,"464kB / 592kB","0B / 16.4kB",29
1741067817,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,0.20%,"122.2MiB / 200MiB",61.09%,"324kB / 237kB","0B / 201kB",35
1741067829,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,4.06%,"12.72MiB / 20MiB",63.59%,"149MB / 140MB","0B / 36.7MB",13
1741067829,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.26%,"64.96MiB / 7.653GiB",0.83%,"491kB / 628kB","0B / 16.4kB",29
1741067829,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,0.35%,"121.4MiB / 200MiB",60.68%,"344kB / 252kB","0B / 201kB",40
1741067841,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,2.16%,"13.2MiB / 20MiB",66.00%,"150MB / 140MB","0B / 37.2MB",13
1741067841,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.33%,"65.6MiB / 7.653GiB",0.84%,"609kB / 778kB","0B / 16.4kB",29
1741067841,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.41%,"131.3MiB / 200MiB",65.64%,"434kB / 308kB","0B / 201kB",57
1741067853,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.13%,"17.28MiB / 20MiB",86.41%,"151MB / 142MB","0B / 37.7MB",13
1741067853,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.15%,"69.02MiB / 7.653GiB",0.88%,"805kB / 1.04MB","0B / 16.4kB",29
1741067853,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,99.93%,"154.6MiB / 200MiB",77.32%,"621kB / 379kB","0B / 201kB",56
1741067865,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,2.27%,"16.98MiB / 20MiB",84.88%,"152MB / 143MB","0B / 38.5MB",13
1741067865,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.16%,"68.7MiB / 7.653GiB",0.88%,"868kB / 1.11MB","0B / 16.4kB",29
1741067865,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.31%,"137.2MiB / 200MiB",68.59%,"645kB / 424kB","0B / 201kB",55
1741067877,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,5.30%,"16.18MiB / 20MiB",80.88%,"155MB / 145MB","0B / 39.4MB",13
1741067877,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.19%,"70.12MiB / 7.653GiB",0.89%,"929kB / 1.18MB","0B / 16.4kB",29
1741067877,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,101.17%,"134.7MiB / 200MiB",67.35%,"668kB / 469kB","0B / 201kB",56
1741067889,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,11.12%,"15.01MiB / 20MiB",75.04%,"159MB / 149MB","0B / 41.1MB",13
1741067889,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.14%,"69.43MiB / 7.653GiB",0.89%,"999kB / 1.27MB","0B / 16.4kB",29
1741067889,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,0.15%,"127.9MiB / 200MiB",63.94%,"694kB / 522kB","0B / 201kB",48
1741067901,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,7.78%,"16.07MiB / 20MiB",80.33%,"164MB / 154MB","0B / 42.3MB",13
1741067901,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.15%,"70.43MiB / 7.653GiB",0.90%,"1.14MB / 1.45MB","0B / 16.4kB",29
1741067901,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,102.51%,"138.5MiB / 200MiB",69.24%,"822kB / 576kB","0B / 201kB",56
1741067913,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,15.70%,"15.75MiB / 20MiB",78.77%,"170MB / 159MB","0B / 44MB",13
1741067913,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.12%,"69.84MiB / 7.653GiB",0.89%,"1.2MB / 1.52MB","0B / 16.4kB",29
1741067913,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,104.42%,"146.8MiB / 200MiB",73.41%,"843kB / 619kB","0B / 201kB",54
1741067925,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.25MiB / 20MiB",96.27%,"176MB / 165MB","623kB / 58.7MB",13
1741067925,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.13%,"80.77MiB / 7.653GiB",1.03%,"1.71MB / 2.2MB","0B / 16.4kB",29
1741067925,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.92%,"156.7MiB / 200MiB",78.36%,"1.35MB / 790kB","0B / 201kB",56
1741067938,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,1.36%,"19MiB / 20MiB",95.00%,"176MB / 165MB","3.69MB / 63MB",13
1741067938,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.08%,"80.17MiB / 7.653GiB",1.02%,"1.78MB / 2.28MB","0B / 16.4kB",29
1741067938,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.86%,"145.8MiB / 200MiB",72.89%,"1.38MB / 841kB","0B / 201kB",56
1741067950,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,2.72%,"19.05MiB / 20MiB",95.23%,"178MB / 167MB","5.43MB / 63.8MB",13
1741067950,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.26%,"79.54MiB / 7.653GiB",1.01%,"1.84MB / 2.35MB","0B / 16.4kB",29
1741067950,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.58%,"135.8MiB / 200MiB",67.89%,"1.4MB / 885kB","0B / 201kB",56
1741067962,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,5.22%,"18.79MiB / 20MiB",93.96%,"180MB / 169MB","7.05MB / 65MB",13
1741067962,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.29%,"78.91MiB / 7.653GiB",1.01%,"1.9MB / 2.42MB","0B / 16.4kB",29
1741067962,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,102.19%,"139.9MiB / 200MiB",69.96%,"1.42MB / 933kB","0B / 201kB",45
1741067974,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,7.86%,"19.16MiB / 20MiB",95.80%,"183MB / 172MB","9.05MB / 67.4MB",13
1741067974,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.31%,"78.2MiB / 7.653GiB",1.00%,"1.98MB / 2.51MB","0B / 16.4kB",29
1741067974,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,103.30%,"136.6MiB / 200MiB",68.28%,"1.45MB / 987kB","0B / 201kB",56
1741067986,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,12.23%,"17.76MiB / 20MiB",88.79%,"188MB / 176MB","13MB / 72.7MB",13
1741067986,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.15%,"78.57MiB / 7.653GiB",1.00%,"2.1MB / 2.73MB","0B / 16.4kB",31
1741067986,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,105.01%,"138.1MiB / 200MiB",69.04%,"1.49MB / 1.05MB","0B / 201kB",53
1741067998,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.74MiB / 20MiB",98.71%,"190MB / 179MB","18MB / 85.2MB",13
1741067998,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.07%,"84.35MiB / 7.653GiB",1.08%,"2.58MB / 3.37MB","0B / 16.4kB",31
1741067998,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,101.05%,"145.8MiB / 200MiB",72.88%,"2MB / 1.2MB","0B / 201kB",51
1741068010,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.74MiB / 20MiB",98.71%,"190MB / 179MB","18MB / 85.3MB",13
1741068010,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.09%,"84.31MiB / 7.653GiB",1.08%,"2.59MB / 3.38MB","0B / 16.4kB",31
1741068010,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,101.69%,"160.7MiB / 200MiB",80.33%,"2MB / 1.21MB","0B / 201kB",57
1741068022,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.74MiB / 20MiB",98.71%,"190MB / 179MB","18MB / 85.3MB",13
1741068022,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.07%,"84.29MiB / 7.653GiB",1.08%,"2.6MB / 3.39MB","0B / 16.4kB",31
1741068022,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,101.27%,"157.2MiB / 200MiB",78.61%,"2.01MB / 1.21MB","0B / 201kB",56
1741068034,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.96%,"19.68MiB / 20MiB",98.42%,"191MB / 179MB","19.5MB / 87.9MB",13
1741068034,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.12%,"83.92MiB / 7.653GiB",1.07%,"2.64MB / 3.44MB","0B / 16.4kB",31
1741068034,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,99.44%,"146.8MiB / 200MiB",73.42%,"2.03MB / 1.24MB","0B / 201kB",56
1741068046,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,2.06%,"18.84MiB / 20MiB",94.18%,"192MB / 180MB","21.5MB / 92.9MB",13
1741068046,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.22%,"83.24MiB / 7.653GiB",1.06%,"2.7MB / 3.51MB","0B / 16.4kB",31
1741068046,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.83%,"144.9MiB / 200MiB",72.47%,"2.05MB / 1.29MB","0B / 201kB",48
1741068058,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.3MiB / 20MiB",96.52%,"196MB / 184MB","36.5MB / 109MB",13
1741068058,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.06%,"84.92MiB / 7.653GiB",1.08%,"3.36MB / 4.5MB","0B / 16.4kB",32
1741068058,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.59%,"147.2MiB / 200MiB",73.61%,"2.61MB / 1.51MB","0B / 201kB",56
1741068070,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.08MiB / 20MiB",95.39%,"196MB / 184MB","36.6MB / 109MB",13
1741068070,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.09%,"84.88MiB / 7.653GiB",1.08%,"3.37MB / 4.51MB","0B / 16.4kB",32
1741068070,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,102.65%,"149.6MiB / 200MiB",74.80%,"2.62MB / 1.52MB","0B / 201kB",56
1741068082,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.07MiB / 20MiB",95.37%,"196MB / 184MB","36.6MB / 109MB",13
1741068082,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.08%,"84.85MiB / 7.653GiB",1.08%,"3.37MB / 4.52MB","0B / 16.4kB",32
1741068082,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.79%,"144.5MiB / 200MiB",72.26%,"2.63MB / 1.53MB","0B / 201kB",56
1741068094,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.07MiB / 20MiB",95.37%,"196MB / 184MB","36.6MB / 109MB",13
1741068094,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.06%,"84.84MiB / 7.653GiB",1.08%,"3.38MB / 4.53MB","0B / 16.4kB",32
1741068094,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.82%,"147.1MiB / 200MiB",73.53%,"2.63MB / 1.53MB","0B / 201kB",51
1741068106,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"19.07MiB / 20MiB",95.37%,"196MB / 185MB","36.6MB / 109MB",13
1741068106,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.12%,"84.84MiB / 7.653GiB",1.08%,"3.39MB / 4.53MB","0B / 16.4kB",32
1741068106,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,101.40%,"147MiB / 200MiB",73.49%,"2.64MB / 1.54MB","0B / 201kB",56
1741068118,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"18.44MiB / 20MiB",92.21%,"197MB / 185MB","45.8MB / 114MB",13
1741068118,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.07%,"79.81MiB / 7.653GiB",1.02%,"3.6MB / 4.98MB","0B / 16.4kB",32
1741068118,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,101.13%,"150.7MiB / 200MiB",75.34%,"2.72MB / 1.62MB","0B / 201kB",56
1741068130,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"18.28MiB / 20MiB",91.41%,"197MB / 185MB","45.8MB / 114MB",13
1741068130,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.07%,"79.62MiB / 7.653GiB",1.02%,"3.6MB / 4.99MB","0B / 16.4kB",32
1741068130,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.79%,"145.6MiB / 200MiB",72.79%,"2.72MB / 1.62MB","0B / 201kB",57
1741068142,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"18.28MiB / 20MiB",91.41%,"197MB / 185MB","45.8MB / 114MB",13
1741068142,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.07%,"79.59MiB / 7.653GiB",1.02%,"3.61MB / 5MB","0B / 16.4kB",32
1741068142,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.58%,"149.8MiB / 200MiB",74.91%,"2.73MB / 1.63MB","0B / 201kB",53
1741068154,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.00%,"18.28MiB / 20MiB",91.41%,"197MB / 185MB","45.8MB / 114MB",13
1741068154,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.09%,"79.56MiB / 7.653GiB",1.02%,"3.62MB / 5.01MB","0B / 16.4kB",32
1741068154,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,100.55%,"150.8MiB / 200MiB",75.41%,"2.74MB / 1.64MB","0B / 201kB",54
1741068166,90eef724460b,reverse_proxy_test-cache-1,90eef724460b,0.01%,"18.28MiB / 20MiB",91.41%,"197MB / 185MB","45.8MB / 114MB",13
1741068166,e1c8975346eb,reverse_proxy_test-lb-1,e1c8975346eb,0.06%,"79.54MiB / 7.653GiB",1.01%,"3.63MB / 5.01MB","0B / 16.4kB",32
1741068166,78d67e8bb932,reverse_proxy_test-api-1,78d67e8bb932,101.08%,"149.7MiB / 200MiB",74.83%,"2.75MB / 1.65MB","0B / 201kB",57
